UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV),
242644,Inter American University of Puerto Rico-Barranquitas,1099,100,9644,5256,,
242705,Inter American University of Puerto Rico-Bayamon,3806,100,7690,5058,,
242680,Inter American University of Puerto Rico-Fajardo,1306,99,8107,5026,,
242699,Inter American University of Puerto Rico-Guayama,1498,99,7261,5291,,
242653,Inter American University of Puerto Rico-Metro,3713,99,5412,4129,5,
242662,Inter American University of Puerto Rico-Ponce,2957,100,7608,4944,,
242617,Inter American University of Puerto Rico-San German,2733,100,8487,5302,,
232423,James Madison University,7057,35,9388,4809,5,
455196,Jersey College,2748,58,4306,4154,,
220464,John A Gupton College,100,52,9719,4048,,
445708,Johnson & Wales University-Charlotte,1257,100,27554,5442,8,
217235,Johnson & Wales University-Providence,4521,97,24162,5091,12,
213233,Johnson College,361,68,8275,4828,15,
220473,Johnson University,576,85,10146,4806,9,
447263,Joyce University of Nursing and Health Sciences,1480,82,9024,4329,,
213251,Juniata College,1193,95,41205,4492,7,
219240,Kairos University,0,0,,,,
213303,Keystone College,1171,100,6236,3794,4,
220516,King University,1044,77,16929,5176,,
213321,King's College,1662,91,26555,5072,7,
213349,Kutztown University of Pennsylvania,6472,97,6438,4652,9,
213358,La Roche University,790,85,17197,4463,5,
213367,La Salle University,2419,88,24196,5373,4,
213385,Lafayette College,2680,98,25351,5172,12,
238980,Lakeland University,1221,82,20812,3793,,
226091,Lamar University,7126,85,8006,4833,4,
213400,Lancaster Bible College,1368,89,10729,4029,4,
218229,Lander University,2922,82,10904,5245,10,
247649,Landmark College,409,73,22714,4674,100,
250027,Laurel Business Institute,249,88,6223,5522,,
215992,Laurel Technical Institute,136,96,9262,6085,,
239017,Lawrence University,1464,99,38379,4922,8,
220604,Le Moyne-Owen College,587,96,10330,5759,6,
213507,Lebanon Valley College,1581,93,32765,4748,8,
220613,Lee University,3168,80,13110,4829,4,
213543,Lehigh University,2971,55,44678,5244,6,
226231,LeTourneau University,1437,48,18930,4942,6,
209056,Lewis & Clark College,2072,98,37327,5151,13,
232557,Liberty University,40160,83,7344,4483,,
218238,Limestone University,1331,79,15479,4921,,
220631,Lincoln Memorial University,1516,91,17191,4564,,
213598,Lincoln University,1681,95,11728,5275,9,
209065,Linfield University,1653,94,27730,4726,11,
219976,Lipscomb University,2765,94,22046,4720,8,
232566,Longwood University,2400,69,10660,4811,11,
449612,Louisiana Culinary Institute,56,60,3997,3909,,
226383,Lubbock Christian University,1215,87,15197,4879,11,
213668,Lycoming College,1084,100,40963,5213,6,
213774,Manor College,441,67,6967,4489,6,
239071,Maranatha Baptist University,559,68,7919,4171,,
