UnitID,Institution Name,Number of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Percent of undergraduate students awarded federal  state  local  institutional or other sources of grant aid (SFA2122_RV),Average amount of federal  state  local  institutional or other sources of grant aid awarded to undergraduate students (SFA2122_RV),Average amount Pell grant aid awarded to undergraduate students (SFA2122_RV),Percent of undergraduates  who are formally registered as students with disabilities  when percentage is more than 3 percent (IC2021_RV)
139630,Emmanuel University,896,98,13016,5086,18
139658,Emory University,4169,58,45148,5492,11
139719,Fort Valley State University,2492,99,8756,5045,
139755,Georgia Institute of Technology-Main Campus,12420,71,12073,4795,
139764,Georgia Southwestern State University,2343,95,5959,5036,
139861,Georgia College & State University,4990,89,8155,4755,8
139931,Georgia Southern University,21727,92,7576,5032,4
139940,Georgia State University,24562,85,9181,4721,
139959,University of Georgia,26796,89,10749,4724,6
139968,Gordon State College,2682,86,5776,5107,
140234,LaGrange College,581,100,24883,4666,
140252,Life University,704,76,10491,5274,
140340,Herzing University-Atlanta,529,92,6367,4678,
140447,Mercer University,4707,95,24594,4738,6
140553,Morehouse College,1834,72,17863,4830,18
140696,Oglethorpe University,1380,95,35151,5031,8
140720,Paine College,248,99,13636,5092,
140818,Piedmont University,1255,100,20138,5535,5
140872,Reinhardt University,1004,97,16926,4762,6
140951,Savannah College of Art and Design,11640,91,11938,4631,18
140988,Shorter University,1181,89,17678,5425,
141060,Spelman College,1906,79,13030,5365,21
141167,Thomas University,562,74,3885,2468,
141185,Toccoa Falls College,1674,96,7065,5155,
141237,Truett McConnell University,2556,98,6876,5057,
141264,Valdosta State University,8283,94,8371,5071,
141325,Wesleyan College,564,81,19051,5409,7
141334,University of West Georgia,8474,89,6977,5100,
141361,Young Harris College,1388,100,21731,4997,6
141486,Chaminade University of Honolulu,1411,91,15155,5810,
141565,University of Hawaii at Hilo,2558,93,6820,4547,4
141574,University of Hawaii at Manoa,9658,68,7364,4643,7
141644,Hawaii Pacific University,2747,68,15578,4583,
141981,University of Hawaii-West Oahu,2626,87,3260,4246,
142090,Boise Bible College,86,97,7615,4563,6
142115,Boise State University,13414,60,8380,4329,
142285,University of Idaho,7306,85,10161,4604,8
142294,The College of Idaho,1115,100,24326,4701,25
142328,Lewis-Clark State College,1647,44,7151,4408,
142461,Northwest Nazarene University,1099,83,21016,4730,5
142522,Brigham Young University-Idaho,19433,44,6174,6573,7
143048,School of the Art Institute of Chicago,2792,100,16956,4992,26
143084,Augustana College,2317,99,33822,4710,10
143118,Aurora University,4114,100,16169,4681,5
143288,Blackburn College,402,97,18819,4676,
143358,Bradley University,4190,97,23152,4821,8
144005,Chicago State University,1402,93,12049,5259,
144050,University of Chicago,4208,55,43934,5033,11
144281,Columbia College Chicago,6004,92,17258,5192,7
144351,Concordia University-Chicago,1199,83,21466,4676,4
144740,DePaul University,12769,89,23507,4475,7
144892,Eastern Illinois University,4567,66,10243,4732,6
144962,Elmhurst University,2801,94,25425,5175,8
144971,Eureka College,468,98,17679,4745,5
145239,Fox College,240,78,7691,5001,
145336,Governors State University,2709,100,7902,4442,
145372,Greenville University,787,88,20639,4930,
145497,Hebrew Theological College,70,39,9406,6139,
145600,University of Illinois Chicago,14640,66,12539,4920,4
145619,Benedictine University,2001,92,19080,5270,5
145637,University of Illinois Urbana-Champaign,20318,58,16449,5085,7
145646,Illinois Wesleyan University,1646,100,34689,4977,
145691,Illinois College,1097,100,27424,4912,5
145725,Illinois Institute of Technology,2865,96,36536,5034,
145813,Illinois State University,15161,86,10441,4938,6
146339,Judson University,838,90,19730,5483,12
146427,Knox College,1151,100,36537,4915,15
146481,Lake Forest College,1660,100,40590,5122,20
146612,Lewis University,3548,91,20916,5031,5
146719,Loyola University Chicago,11146,94,24072,5149,16
147013,McKendree University,1440,100,20599,4523,
147129,Methodist College,394,77,8452,4088,9
147244,Millikin University,1700,94,28498,4927,7
147341,Monmouth College,755,100,33844,4775,7
147369,Moody Bible Institute,1635,86,9846,4046,12
147536,National Louis University,3204,89,9925,4645,
147660,North Central College,2367,98,26715,4779,
147679,North Park University,1784,97,19798,4853,6
147703,Northern Illinois University,11297,95,9294,4666,5
147767,Northwestern University,4780,54,53533,5208,11
147776,Northeastern Illinois University,3062,66,8032,4411,5
147828,Olivet Nazarene University,2571,97,26948,4721,7
148016,Principia College,311,97,28378,,
148131,Quincy University,964,91,23432,4788,
148405,Rockford University,928,96,19128,4532,6
148487,Roosevelt University,2487,95,21264,4655,4
148496,Dominican University,1933,94,23938,4963,7
148584,University of St Francis,1322,84,21896,4926,4
148627,Saint Xavier University,3013,97,26448,5050,6
148654,University of Illinois Springfield,1910,76,10692,4429,
149028,Saint Anthony College of Nursing,189,100,6326,4165,8
149222,Southern Illinois University-Carbondale,7512,92,10767,4943,5
149231,Southern Illinois University-Edwardsville,7511,75,8626,4889,
149310,Taylor Business Institute,30,13,6839,4159,
149329,Telshe Yeshiva-Chicago,73,100,16232,7101,
149505,Trinity Christian College,888,96,21430,4354,
149514,Trinity International University-Illinois,419,84,25442,5124,
149639,VanderCook College of Music,78,86,21529,4525,
149772,Western Illinois University,5251,97,8341,4955,7
149781,Wheaton College,2257,99,20220,4751,6
150066,Anderson University,1100,95,23453,4938,6
150136,Ball State University,12922,87,10706,5402,7
150145,Bethel University,1030,88,21871,4963,10
150163,Butler University,4212,93,22704,4856,12
150400,DePauw University,1674,97,37179,4668,
150455,Earlham College,648,98,33897,5099,17
150534,University of Evansville,1562,87,30684,4863,11
150604,Franklin College,880,98,29358,5004,5
150668,Goshen College,709,95,26128,5046,9
150677,Grace College and Theological Seminary,1341,84,18297,5069,6
150756,Hanover College,1002,93,32550,4550,21
150774,Holy Cross College,379,81,26825,5225,7
150941,Huntington University,946,84,17788,4624,
151102,Purdue University Fort Wayne,6093,78,6142,4884,4
151111,Indiana University-Indianapolis,13919,73,11422,4575,
151263,University of Indianapolis,3925,97,24671,4873,
151290,Indiana Institute of Technology,1300,85,20104,4887,
151306,University of Southern Indiana,5193,66,7732,4649,
151324,Indiana State University,7112,92,8858,4568,
151333,Indiana University-Kokomo,2773,98,5621,4395,
151342,Indiana University-South Bend,3270,85,7231,4284,
151351,Indiana University-Bloomington,24658,72,11451,4838,
151360,Indiana University-Northwest,2348,77,7441,4462,
151379,Indiana University-Southeast,2721,77,6609,4234,
151388,Indiana University-East,2032,70,6645,4129,
151467,International Business College-Indianapolis,173,77,9318,4857,
151777,Manchester University,974,99,28374,5108,6
151786,Marian University,2377,87,19577,4855,6
151801,Indiana Wesleyan University-Marion,2256,92,20043,4505,
152080,University of Notre Dame,5419,60,45321,5134,8
152099,Oakland City University,457,65,23482,4744,
152318,Rose-Hulman Institute of Technology,2039,98,28108,4868,10
152336,University of Saint Francis-Fort Wayne,1717,99,20925,4541,10
152381,Saint Mary-of-the-Woods College,735,93,21387,4754,
152530,Taylor University,1685,87,23455,4851,7
152567,Trine University,2150,56,23139,4585,7
152600,Valparaiso University,2467,97,40463,5254,7
152673,Wabash College,836,100,35702,4703,5
152798,Allen College,242,77,4566,2252,
153001,Buena Vista University,1356,90,20292,4779,5
153108,Central College,1102,97,10764,4654,11
153126,Clarke University,702,98,24206,4629,
153144,Coe College,1349,98,40121,5000,8
153162,Cornell College,1035,99,35483,5079,17
153241,Divine Word College,67,100,18173,5861,
153250,Dordt University,1409,92,20118,4727,
153269,Drake University,2808,97,29576,4770,
153278,University of Dubuque,1433,90,26780,4441,5
153302,Emmaus Bible College,170,88,14955,5152,7
153320,Faith Baptist Bible College and Theological Seminary,311,81,13012,4181,
153366,Graceland University-Lamoni,838,87,26181,4800,
153375,Grand View University,1499,96,19536,4693,
153384,Grinnell College,1551,89,43476,4929,19
153603,Iowa State University,20513,79,9461,4826,7
153621,Iowa Wesleyan University,641,84,25639,5090,7
153658,University of Iowa,15105,70,10058,4730,
153825,Loras College,1293,100,23265,4393,6
153834,Luther College,1715,98,35965,4585,14
153861,Maharishi International University,392,60,8518,4630,
153977,Mercy College of Health Sciences,728,76,7608,4874,7
154004,Morningside University,1200,96,23591,4366,5
154013,Mount Mercy University,1204,97,22913,4263,
154095,University of Northern Iowa,5888,74,7433,4449,8
154101,Northwestern College,1035,95,23129,4289,
154235,Saint Ambrose University,2111,95,22910,4558,12
154262,St Luke's College,178,88,7098,3978,
154350,Simpson College,1129,96,33371,4590,7
154493,Upper Iowa University,1834,73,12470,4417,
154518,Waldorf University,1431,69,7445,4012,
154527,Wartburg College,1436,95,36141,4616,
154590,William Penn University,1247,96,19952,4859,
154688,Baker University,992,64,19107,4389,
154712,Benedictine College,2104,96,21800,4334,7
154721,Bethany College,688,93,22813,4711,4
154749,Bethel College-North Newton,479,99,22241,4846,
155025,Emporia State University,2530,86,5983,4799,6
155061,Fort Hays State University,4759,42,5167,4125,
155070,Barclay College,168,100,18652,5097,
155089,Friends University,915,77,17489,4596,4
155140,Haskell Indian Nations University,523,75,6550,5039,10
155317,University of Kansas,14281,75,10373,4624,5
155335,Newman University,799,37,22686,4823,
155399,Kansas State University,11303,72,8381,4274,5
155414,Kansas Wesleyan University,738,97,20327,4927,
155496,Manhattan Christian College,168,95,9093,4067,
155511,McPherson College,819,99,21522,4649,7
155520,MidAmerica Nazarene University,829,71,19920,4655,
155627,Ottawa University-Ottawa,786,100,27900,5116,
155681,Pittsburg State University,3068,67,6039,4584,
155812,University of Saint Mary,739,89,22180,4493,
155900,Southwestern College,835,72,20391,4401,
155937,Sterling College,531,77,18158,4874,
155973,Tabor College,566,91,23905,4617,
156125,Wichita State University,7162,59,7373,4560,4
156189,Alice Lloyd College,612,100,14378,4823,
156213,Asbury University,1174,80,21082,4289,7
156286,Bellarmine University,2290,95,33554,4604,10
156295,Berea College,1454,99,55508,5159,17
156356,Brescia University,618,82,20089,4938,
156408,Centre College,1310,99,35350,4881,7
156541,University of the Cumberlands,3871,79,9483,5980,
156620,Eastern Kentucky University,9646,83,8710,4685,4
156745,Georgetown College,1229,98,40370,5164,6
157030,Kentucky Mountain Bible College,77,95,8093,4519,
157058,Kentucky State University,1430,67,8881,5254,
157076,Kentucky Wesleyan College,811,100,20836,4523,4
157085,University of Kentucky,19361,88,11981,4727,10
157100,Kentucky Christian University,503,83,15395,4399,
157289,University of Louisville,14846,95,9508,4454,5
157377,Midway University,1169,99,14509,4719,7
157386,Morehead State University,6739,81,8644,4810,4
157401,Murray State University,7642,100,10234,5036,11
157447,Northern Kentucky University,9542,88,8828,5243,4
157748,The Southern Baptist Theological Seminary,292,29,2128,,
157757,Spalding University,654,85,13490,4842,4
157809,Thomas More University,1433,78,23139,4647,5
157818,Transylvania University,964,99,29629,4511,11
157863,Union College,743,94,21075,5227,
157951,Western Kentucky University,12503,85,8499,4630,4
158477,Centenary College of Louisiana,506,97,31632,5250,10
158802,Dillard University,1191,99,17723,5221,
159009,Grambling State University,4355,99,6958,5340,
159382,Louisiana State University-Alexandria,3111,82,5384,4869,
159391,Louisiana State University and Agricultural & Mechanical College,25205,86,11917,5185,8
159416,Louisiana State University-Shreveport,2122,86,7562,4689,
159568,Louisiana Christian University,811,85,14107,5129,
159647,Louisiana Tech University,9453,94,9857,4819,
159656,Loyola University New Orleans,3098,92,31701,5254,15
159717,McNeese State University,4234,72,8886,4911,
159939,University of New Orleans,4335,67,8743,4619,12
159966,Nicholls State University,5479,98,7372,4848,4
159993,University of Louisiana at Monroe,5369,80,11266,4952,
160038,Northwestern State University of Louisiana,9283,96,7201,4799,
160065,University of Holy Cross,542,62,6136,4312,
160074,Franciscan Missionaries of Our Lady University,950,96,5959,4028,6
160612,Southeastern Louisiana University,9571,77,8800,4667,7
160621,Southern University and A & M College,5014,76,7949,5592,
160630,Southern University at New Orleans,1097,61,5936,4846,
160658,University of Louisiana at Lafayette,12599,92,8396,4842,6
160755,Tulane University of Louisiana,5818,66,30873,4628,17
160904,Xavier University of Louisiana,2517,91,18022,5396,
160959,College of the Atlantic,357,95,32698,4743,7
160977,Bates College,714,39,50877,5126,10
161004,Bowdoin College,1027,53,50865,5255,8
161022,Maine College of Health Professions,222,94,3137,3545,6
161086,Colby College,975,43,54700,5035,18
161226,University of Maine at Farmington,1299,82,11142,4644,13
161235,University of Maine at Fort Kent,567,37,7052,4154,4
161253,University of Maine,8412,83,11693,4500,8
161299,Maine Maritime Academy,574,66,10088,4648,11
161341,University of Maine at Presque Isle,687,44,8609,4423,14
161457,University of New England,2209,60,19706,4442,12
161509,Maine College of Art & Design,407,100,19763,4977,14
161518,Saint Joseph's College of Maine,749,71,22685,4231,10
161554,University of Southern Maine,3924,66,9432,4308,9
161572,Unity Environmental University,1115,56,3754,3480,14
161873,University of Baltimore,1268,79,6725,4128,5
162007,Bowie State University,3560,66,8199,4777,
162061,Capitol Technology University,249,75,15285,4554,9
162210,Washington Adventist University,540,78,14125,4886,
162283,Coppin State University,1773,96,8609,4652,5
162584,Frostburg State University,3059,83,8264,4706,7
162654,Goucher College,1040,97,34175,4862,19
162760,Hood College,1179,97,32052,5112,13
162928,Johns Hopkins University,3564,58,52572,5030,7
163046,Loyola University Maryland,3635,94,32393,5049,17
163268,University of Maryland-Baltimore County,8421,78,9265,5035,8
163286,University of Maryland-College Park,15197,49,11409,5165,
163295,Maryland Institute College of Art,1481,96,27342,5051,7
163338,University of Maryland Eastern Shore,1758,97,9712,4961,
163453,Morgan State University,6556,93,11374,4875,9
163462,Mount St. Mary's University,2055,100,31752,5110,12
163532,Ner Israel Rabbinical College,187,72,11967,6655,
163578,Notre Dame of Maryland University,525,65,25681,4535,4
163851,Salisbury University,5450,81,6908,4691,8
163912,St. Mary's College of Maryland,1336,88,9939,4945,12
163976,St. John's College,408,86,22870,4843,11
164076,Towson University,12201,68,9526,4918,5
164155,United States Naval Academy,,,,,
164173,Stevenson University,2649,89,25842,5155,13
164216,Washington College,979,95,30662,4820,19
164270,McDaniel College,1720,98,36828,5015,16
164368,Hult International Business School,467,73,19846,5938,
164447,American International College,1236,96,30064,4808,16
164465,Amherst College,1208,61,58328,5181,21
164492,Anna Maria College,1017,91,27748,5336,11
164562,Assumption University,1887,99,30263,4758,13
164580,Babson College,1690,66,29393,5230,9
164614,Boston Baptist College,40,98,6462,4176,
164632,Bay Path University,1299,85,12546,3885,
164641,Bay State College,198,57,2414,2025,
164739,Bentley University,3052,76,30657,4910,
164748,Berklee College of Music,3598,50,19958,4319,7
164924,Boston College,4345,44,47075,5293,9
164988,Boston University,8911,49,46070,5156,
165015,Brandeis University,2256,63,37319,5215,14
165024,Bridgewater State University,5911,71,7986,4547,8
165264,Laboure College of Healthcare,533,51,4097,3841,7
165334,Clark University,2211,96,28344,4795,15
165529,Curry College,1699,83,13482,5119,14
