instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
University of Maine at Fort Kent,23,ME,1,1,0,2,2,2,2,2,21577,26857,99,13,65,1357,40,100,92,3,539,534,68,,14325,1000,9045,7560,12840,,,334,116,218
University of Maine at Presque Isle,23,ME,1,1,1,2,1,1,1,2,22690,27970,97,18,73,2152,38,93,76,3,755,733,110,,14270,900,8990,7650,12840,,,892,402,490
University of Maine-System Central Office,23,ME,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Management and Technology,51,VA,1,1,0,2,2,2,2,1,,,,,,323,100,100,100,,,,,,9450,240,9450,9360,9360,,,296,161,135
University of Mary,38,ND,1,1,1,1,1,1,1,2,34258,34258,78,45,83,2650,68,100,100,3,1577,1234,559,,21468,1096,21468,19084,19084,,,1991,820,1171
University of Mary Hardin-Baylor,48,TX,1,1,1,1,1,1,1,2,48200,48200,95,8,68,3024,53,100,99,5,11407,10850,825,39,33150,1300,33150,30600,30600,,,2814,1061,1753
University of Mary Washington,51,VA,1,1,1,2,1,1,1,2,32549,49469,86,19,82,3611,67,99,98,5,4606,3973,737,31,31479,1200,14559,8938,25858,,,3041,1145,1896
University of Maryland Eastern Shore,24,MD,1,1,1,2,1,1,1,2,26554,37384,90,10,66,2233,35,100,98,5,8032,7258,717,0,19728,2020,8898,5637,16467,,,2059,933,1126
University of Maryland Global Campus,24,MD,1,1,0,2,2,2,2,1,,,,,53,50793,30,62,16,,,,,,12336,0,7992,7632,11976,,,11395,6035,5360
University of Maryland  Baltimore,24,MD,1,2,0,2,2,2,2,-2,,,,,,978,,,,,,,,,,,,9827,40389,,,792,145,647
University of Maryland-Baltimore County,24,MD,1,1,1,2,1,1,1,2,32170,49526,74,20,87,10490,71,94,82,5,13150,9762,1961,32,30308,1600,12952,9238,26594,,,9073,4906,4167
University of Maryland-College Park,24,MD,1,1,1,1,1,1,1,2,30885,59686,45,23,96,30608,89,65,45,5,59377,26625,6176,42,40306,1250,11505,9889,38690,,,28498,14324,14174
University of Massachusetts Chan Medical School,25,MA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
University of Massachusetts Global,6,CA,1,1,0,2,2,2,2,1,,,,,42,5511,0,96,1,,,,,,12520,936,12520,12000,12000,,,1998,738,1260
University of Massachusetts-Amherst,25,MA,1,1,1,1,1,1,1,2,34666,56602,58,18,91,23936,83,87,74,5,50424,29129,5247,27,39293,1000,17357,16591,38527,,,22537,10885,11652
University of Massachusetts-Boston,25,MA,1,1,1,2,1,1,1,2,37074,58752,83,14,73,12373,51,92,86,5,20918,17353,2406,28,37174,1000,15496,14905,36581,,,10097,4309,5788
University of Massachusetts-Central Office,25,MA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
University of Massachusetts-Dartmouth,25,MA,1,1,1,1,1,1,1,2,36320,52862,92,15,64,5602,49,99,92,5,9794,9026,1362,13,31750,1400,15208,14533,31075,,,4707,2283,2424
University of Massachusetts-Lowell,25,MA,1,1,1,2,1,1,1,2,34564,53390,85,19,82,12128,70,91,78,5,12628,10764,2033,30,35396,1200,16570,15850,34676,,,9450,5531,3919
University of Memphis,47,TN,1,1,1,1,1,1,1,2,28070,32510,93,18,71,16771,49,97,66,5,15640,14605,2535,3,14784,920,10344,8520,12960,,,11311,4526,6785
University of Miami,12,FL,1,1,1,1,1,1,1,2,88440,88440,19,26,92,12883,84,81,75,5,48286,8940,2328,32,59926,1328,59926,58104,58104,,,12405,5726,6679
University of Michigan-Ann Arbor,26,MI,1,1,1,1,1,1,1,2,34782,75626,18,47,98,33730,93,66,54,5,87632,15722,7426,52,58072,1126,17228,17977,59775,,,32345,15065,17280
University of Michigan-Dearborn,26,MI,1,1,0,2,1,1,1,2,,,59,16,81,6071,57,97,96,5,12373,7254,1142,62,31360,1300,14944,14544,30960,,,4815,2519,2296
University of Michigan-Flint,26,MI,1,1,0,2,2,2,2,2,29886,47146,69,9,76,4751,45,97,94,5,8870,6105,486,65,31274,700,14014,12942,25854,,,2961,1137,1824
University of Minnesota-Crookston,27,MN,1,1,1,2,1,1,1,2,26672,26672,58,20,77,2518,50,91,87,3,1886,1101,210,,13120,1000,13120,11478,11478,,,1148,461,687
University of Minnesota-Duluth,27,MN,1,1,1,1,1,1,1,2,27972,33416,82,23,81,8525,64,96,89,5,9502,7768,1808,2,19762,1000,14318,12766,18210,,,7249,3677,3572
University of Minnesota-Morris,27,MN,1,1,1,1,1,1,1,2,27462,29612,70,11,73,1020,62,99,95,3,3477,2450,272,,16438,1000,14288,12932,15082,,,948,442,506
University of Minnesota-Rochester,27,MN,1,1,0,2,2,2,2,2,30700,30700,72,19,72,588,57,94,71,5,1221,877,162,2,14400,1000,14400,13256,13256,,,547,119,428
University of Minnesota-Twin Cities,27,MN,1,1,1,1,1,1,1,2,32866,52780,77,22,91,39556,85,81,61,5,39863,30705,6697,8,36402,1000,16488,14496,34410,,,29124,13323,15801
