instnm,FIPS state code (HD2023),State abbreviation (HD2023),Full-time undergraduate students are enrolled (IC2023),Full time first-time degree/certificate-seeking undergraduate students enrolled (IC2023),Member of National Collegiate Athletic Association (NCAA) (IC2023),NCAA/NAIA member for football (IC2023),NCAA/NAIA member for basketball (IC2023),NCAA/NAIA member for baseball (IC2023),NCAA/NAIA member for cross country/track (IC2023),Open admission policy (IC2023),Total price for in-state students living on campus 2023-24 (DRVIC2023),Total price for out-of-state students living on campus 2023-24 (DRVIC2023),Percent admitted - total (DRVADM2023),Admissions yield - total (DRVADM2023),Full-time retention rate  2023 (EF2023D),Undergraduate enrollment (DRVEF2023),Graduation rate  total cohort (DRVGR2023),Percent of full-time first-time undergraduates awarded any financial aid (SFA2223),Percent of full-time first-time undergraduates awarded institutional grant aid (SFA2223),Admission test scores (ADM2023),Applicants total (ADM2023),Admissions total (ADM2023),Enrolled full time total (ADM2023),Percent of first-time degree/certificate-seeking students submitting SAT scores (ADM2023),Published out-of-state tuition and fees 2023-24 (IC2023_AY),Books and supplies 2023-24 (IC2023_AY),Published in-state tuition and fees 2023-24 (IC2023_AY),In-state average tuition for full-time undergraduates (IC2023_AY),Out-of-state average tuition for full-time undergraduates (IC2023_AY),Number of programs offered (IC2023_PY),Books and supplies 2023-24 (IC2023_PY),Full time total (EF2023  All students  Undergraduate total),Full time men (EF2023  All students  Undergraduate total),Full time women (EF2023  All students  Undergraduate total)
College of the Mainland,48,TX,1,1,0,2,2,2,2,1,,,,,,4961,28,88,33,,,,,,3873,2000,2973,2550,3450,,,1367,598,769
College of the Muscogee Nation,40,OK,1,1,0,2,2,2,2,1,23945,23945,,,54,250,24,100,85,,,,,,6600,1600,6600,6600,6600,,,118,52,66
College of the Ozarks,29,MO,1,1,0,2,1,1,1,2,33734,33734,15,69,88,1427,61,100,100,1,2495,371,256,11,21290,1100,21290,20800,20800,,,1403,617,786
College of the Redwoods,6,CA,1,1,0,2,2,2,2,1,16035,22671,,,65,4260,25,93,15,,,,,,7783,938,1147,1104,8256,,,1367,708,659
College of the Sequoias,6,CA,1,1,0,2,2,2,2,1,,,,,70,13586,33,81,0,,,,,,8338,1000,1394,1288,8232,,,5102,2396,2706
College of the Siskiyous,6,CA,1,1,0,2,2,2,2,1,17186,25136,,,57,1430,30,57,0,,,,,,9394,1233,1444,1380,9330,,,604,335,269
College of Western Idaho,16,ID,1,1,0,2,2,2,2,1,,,,,63,10326,27,71,31,,,,,,7344,1573,4336,3400,7344,,,2340,1256,1084
College of Wilmington,37,NC,1,1,-2,-2,-2,-2,-2,1,,,,,86,154,33,91,0,,,,,,,,,,,4,3302,148,12,136
College Unbound,44,RI,1,1,0,2,2,2,2,1,,,,,57,401,,86,14,,,,,,10488,225,10488,10488,10488,,,260,53,207
Collin County Community College District,48,TX,1,1,0,2,2,2,2,1,22282,24382,,,,37772,22,43,3,,,,,,5614,2190,3514,3450,5550,,,12121,6288,5833
Collins Career Technical Center,39,OH,1,1,-2,2,2,2,2,1,,,,,100,427,60,82,0,,,,,,,,,,,26,1500,427,105,322
Colorado Academy of Veterinary Technology,8,CO,1,1,0,2,2,2,2,1,,,,,100,25,65,100,0,,,,,,19721,1100,19721,15669,15669,,,11,1,10
Colorado Chinese Medicine University,8,CO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Colorado Christian University,8,CO,1,1,1,2,1,1,1,1,54242,54242,,,79,6730,55,100,100,,,,,,39266,1000,39266,26668,26668,,,1889,657,1232
Colorado College,8,CO,1,1,1,2,1,2,1,2,87128,87128,20,34,95,2145,86,62,56,5,7532,1509,517,20,67932,1240,67932,67458,67458,,,2104,893,1211
Colorado Media School,8,CO,1,1,-2,-2,-2,-2,-2,1,,,,,69,45,70,70,0,,,,,,,,,,,4,125,45,30,15
Colorado Mesa University,8,CO,1,1,1,1,1,1,1,2,26547,41147,81,21,75,8711,42,90,52,5,10631,8653,1656,49,24312,1800,9712,8592,23192,,,6517,3041,3476
Colorado Mountain College,8,CO,1,1,0,2,2,2,2,1,19726,27166,,,56,5673,26,75,35,,,,,,12540,840,5100,4800,12240,,,1503,680,823
Colorado Northwestern Community College,8,CO,1,1,0,2,2,2,2,1,21370,24000,,,54,1256,26,89,72,,,,,,7084,1460,4454,3941,6571,,,405,176,229
Colorado School of Healing Arts,8,CO,1,1,-2,-2,-2,-2,-2,1,,,,,,60,100,0,0,,,,,,12206,1306,12206,11520,11520,,,5,1,4
Colorado School of Mines,8,CO,1,1,1,1,1,1,1,2,42006,65196,60,25,93,5839,79,97,93,5,9821,5864,1448,42,44376,1500,21186,18390,41580,,,5582,3801,1781
Colorado School of Trades,8,CO,1,1,0,2,2,2,2,2,,,77,70,83,108,82,44,0,3,26,20,14,,,,,,,1,5000,108,101,7
Colorado State University Global,8,CO,1,1,0,2,2,2,2,2,,,93,82,56,6568,,88,6,5,392,364,50,0,8400,521,8400,8400,8400,,,1841,888,953
Colorado State University Pueblo,8,CO,1,1,1,1,1,1,1,2,27195,35036,100,37,65,4816,38,97,86,5,1834,1831,612,42,17242,1460,9401,6870,14711,,,2565,1170,1395
Colorado State University-Fort Collins,8,CO,1,1,1,1,1,2,1,2,32439,53294,90,16,85,25834,67,74,69,3,36612,32801,5224,,33751,1200,12896,10299,31055,,,22737,10279,12458
Colorado State University-System Office,8,CO,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Colorado Technical University-Colorado Springs,8,CO,1,1,0,2,2,2,2,1,,,,,44,26114,18,95,19,,,,,,12760,,12760,12100,12100,,,15668,5626,10042
Columbia Basin College,53,WA,1,1,0,2,2,2,2,1,20099,22144,,,,6729,28,62,29,,,,,,8239,702,6194,5514,7559,,,3811,1536,2275
Columbia College,6,CA,1,1,0,2,2,2,2,1,,,,,84,2594,30,66,0,,,,,,,,,,,11,330,239,69,170
Columbia College,29,MO,1,1,0,2,1,1,1,1,38928,38928,,,67,5633,46,93,61,,,2072,193,,21450,960,21450,15980,15980,,,907,183,724
Columbia College,45,SC,1,1,0,2,1,2,1,2,35900,35900,96,10,53,1268,53,99,84,3,2163,,,,8870,940,1547,1465,8788,,,744,342,402
Columbia College,51,VA,1,1,0,2,2,2,2,1,,,,,74,239,72,61,15,,,,,,24326,480,24326,12268,12268,,,2382,910,1472
Columbia College Chicago,17,IL,1,1,0,2,2,2,2,2,54288,54288,91,22,64,6344,48,99,99,3,7873,7178,1578,,32520,1800,32520,30734,30734,,,6013,2284,3729
Columbia Gorge Community College,41,OR,1,1,0,2,2,2,2,1,19230,23766,,,52,736,12,89,5,,,,,,10080,1200,5544,4284,8820,,,244,113,131
Columbia International University,45,SC,1,1,0,2,1,1,1,2,43450,43450,98,32,66,916,66,97,91,3,372,363,115,,27900,200,27900,26700,26700,,,575,309,266
Columbia Southern University,1,AL,1,1,0,2,2,2,2,1,,,,,59,13111,37,67,14,,,,,,5808,0,5808,5528,5528,,,7881,4933,2948
Columbia State Community College,47,TN,1,1,0,2,2,2,2,1,,,,,58,5115,31,94,6,,,,,,18104,1800,4904,4564,17764,,,2617,1085,1532
Columbia Theological Seminary,13,GA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Columbia University in the City of New York,36,NY,1,1,1,1,1,1,1,2,89587,89587,4,63,97,9111,95,56,51,5,57613,2439,1500,40,69045,1392,69045,64526,64526,,,8428,4276,4152
Columbia-Greene Community College,36,NY,1,1,0,2,2,2,2,1,,,,,61,1696,34,72,19,,,,,,11160,1600,5904,5256,10512,,,503,251,252
Columbiana County Career and Technical Center,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,86,114,78,96,7,,,,,,,,,,,4,3893,114,17,97
Columbus College of Art & Design,39,OH,1,1,0,2,2,2,2,2,57068,57068,72,31,73,893,61,100,97,3,867,622,192,,39650,2200,39650,39150,39150,,,871,238,633
Columbus State Community College,39,OH,1,1,0,2,2,2,2,1,,,,,63,26663,25,80,19,,,,,,10917,1800,5338,5338,10917,,,5865,2784,3081
Columbus State University,13,GA,1,1,1,2,1,1,1,2,24797,35851,99,31,73,6008,42,99,22,5,3550,3523,1010,21,16805,1600,5751,4371,15424,,,4140,1653,2487
Columbus Technical College,13,GA,1,1,0,2,2,2,2,1,,,,,49,3153,21,97,0,,,,,,5442,1465,3042,2400,4800,,,789,286,503
Commercial Divers International,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,,47,90,76,2,,,,,,,,,,,1,1000,47,45,2
Commercial Diving Technologies Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,100,177,,56,0,,,,,,,,,,,4,3265,177,165,12
Commonwealth Institute of Funeral Service,48,TX,1,1,0,2,2,2,2,1,,,,,47,382,55,51,0,,,,,,15313,,15313,15213,15213,,,355,75,280
Commonwealth Technical Institute,42,PA,1,1,0,2,2,2,2,1,20876,20876,,,74,132,74,62,0,,,,,,7714,,7714,7564,7564,,,132,100,32
Commonwealth University of Pennsylvania,42,PA,1,1,1,1,1,1,1,2,26470,38294,95,33,75,9967,53,97,70,5,7733,7327,2415,34,22870,1200,11046,7716,19290,,,8919,3545,5374
Community Care College,40,OK,1,1,0,2,2,2,2,1,,,,,77,430,78,87,0,,,,,,,,,,,10,1811,430,20,410
Community Christian College,6,CA,1,1,0,2,2,2,2,1,,,,,80,428,9,100,55,,,,,,9695,300,9695,9030,9030,,,409,405,4
Community College of Allegheny County,42,PA,1,1,0,2,2,2,2,1,,,,,64,10451,23,95,5,,,,,,12583,1500,8803,7560,11340,,,3597,1763,1834
Community College of Aurora,8,CO,1,1,0,2,2,2,2,1,,,,,63,8684,29,68,27,,,,,,15680,1460,4030,3754,15404,,,1350,658,692
Community College of Baltimore County,24,MD,1,1,0,2,2,2,2,1,,,,,55,15803,16,74,12,,,,,,10880,1430,7474,5784,8928,,,4219,2028,2191
Community College of Beaver County,42,PA,1,1,0,2,2,2,2,1,,,,,59,1673,21,99,9,,,,,,19890,600,13680,10920,16380,,,534,260,274
Community College of Denver,8,CO,1,1,0,2,2,2,2,1,,,,,,7715,16,76,10,,,,,,17136,1496,4902,3941,16174,,,1889,752,1137
Community College of Philadelphia,42,PA,1,1,0,2,2,2,2,1,,,,,57,12224,20,84,36,,,,,,12440,2400,8688,7632,11448,,,4221,1581,2640
Community College of Rhode Island,44,RI,1,1,0,2,2,2,2,1,,,,,60,12518,25,96,40,,,,,,14210,1200,5326,4856,13740,,,5072,2217,2855
Community College of Vermont,50,VT,1,1,0,2,2,2,2,1,,,,,43,5377,26,84,27,,,,,,13640,1000,6920,6720,13440,,,822,271,551
Community Technology Learning Center of Portage,39,OH,1,1,-2,-2,-2,-2,-2,1,,,,,,,,,,,,,,,,,,,,5,1200,,,
Compass Career College,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,68,159,41,93,0,,,,,,,,,,,5,1560,159,6,153
Compass College of Film and Media,26,MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compton College,6,CA,1,1,0,2,2,2,2,1,,,,,53,4765,32,80,0,,,,,,8822,938,1142,1104,8784,,,987,397,590
Compu-Med Vocational Careers Corp,12,FL,1,1,0,2,2,2,2,1,,,,,98,417,67,100,0,,,,,,,,,,,6,2280,413,58,355
Conception Seminary College,29,MO,1,1,0,2,2,2,2,2,42698,42698,100,100,100,41,64,100,100,1,8,8,8,13,25208,650,25208,24958,24958,,,32,32,0
Concord University,54,WV,1,1,1,1,1,1,1,2,25982,36882,90,21,49,1472,42,99,79,5,2376,2130,438,70,20600,1100,9700,9100,20000,,,1339,557,782
Concorde Career College-Aurora,8,CO,1,1,0,2,2,2,2,2,,,100,66,,196,69,92,5,3,141,141,93,,,,,,,11,632,196,23,173
Concorde Career College-Broadway,29,MO,1,1,-2,-2,-2,-2,-2,2,,,98,64,,31,71,93,11,3,43,42,27,,,,,,,2,618,31,1,30
Concorde Career College-Dallas,48,TX,1,1,0,2,2,2,2,2,,,97,57,59,183,59,93,0,3,286,277,158,,,,,,,9,633,183,18,165
Concorde Career College-Garden Grove,6,CA,1,1,0,2,2,2,2,2,,,96,41,93,202,80,93,1,3,418,401,137,,,,,,,7,2398,172,40,132
Concorde Career College-Grand Prairie,48,TX,1,1,0,2,2,2,2,2,,,100,68,64,285,49,96,1,3,377,377,228,,,,,,,10,633,245,25,220
Concorde Career College-Kansas City,29,MO,1,1,0,2,2,2,2,2,,,99,58,,240,57,84,3,3,341,337,195,,,,,,,18,884,240,16,224
Concorde Career College-Memphis,47,TN,1,1,0,2,2,2,2,2,,,73,80,64,420,51,93,15,3,597,438,351,,,,,,,21,683,420,28,392
Concorde Career College-North Hollywood,6,CA,1,1,0,2,2,2,2,2,,,99,66,86,143,76,94,6,3,205,203,112,,,,,,,6,2415,120,28,92
Concorde Career College-Portland,41,OR,1,1,0,2,2,2,2,2,,,96,73,78,186,70,94,6,3,134,128,94,,,,,,,8,585,186,19,167
Concorde Career College-San Antonio,48,TX,1,1,0,2,2,2,2,2,,,99,64,66,122,66,92,0,3,122,121,77,,,,,,,8,633,122,12,110
Concorde Career College-San Bernardino,6,CA,1,1,0,2,2,2,2,2,,,98,54,78,260,73,92,4,3,421,413,223,,,,,,,9,636,260,44,216
Concorde Career College-San Diego,6,CA,1,1,0,2,2,2,2,2,,,94,65,73,178,71,92,12,3,248,233,152,,,,,,,8,631,178,26,152
Concorde Career College-Southaven,28,MS,1,1,0,2,2,2,2,2,,,100,63,73,114,67,97,2,3,164,164,103,,,,,,,6,585,114,2,112
Concorde Career Institute-Jacksonville,12,FL,1,1,0,2,2,2,2,2,,,96,61,56,140,49,94,10,3,170,164,74,,,,,,,13,656,108,9,99
Concorde Career Institute-Miramar,12,FL,1,1,0,2,2,2,2,2,,,99,52,64,137,63,86,4,3,212,210,109,,,,,,,13,653,137,22,115
Concorde Career Institute-Orlando,12,FL,1,1,0,2,2,2,2,2,,,91,47,72,145,64,92,16,3,163,148,70,,,,,,,9,6552,145,15,130
Concorde Career Institute-Tampa,12,FL,1,1,0,2,2,2,2,2,,,99,58,55,132,65,94,6,3,205,202,117,,,,,,,12,656,132,22,110
Concordia College at Moorhead,27,MN,1,1,1,1,1,1,1,2,46200,46200,63,16,78,1799,72,100,100,5,4434,2796,438,1,30020,900,30020,29400,29400,,,1701,802,899
Concordia Seminary,29,MO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Concordia Theological Seminary,18,IN,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Concordia University Ann Arbor,26,MI,1,1,0,1,1,1,1,2,52610,52610,72,17,66,1044,50,99,99,5,2465,1777,289,0,34200,2400,34200,33750,33750,,,892,496,396
Concordia University Texas,48,TX,1,1,1,2,1,1,1,2,54282,54282,91,12,63,1391,41,99,99,5,2170,1976,211,40,36690,800,36690,35750,35750,,,1192,416,776
Concordia University-Chicago,17,IL,1,1,1,1,1,1,1,2,49998,49998,93,8,63,1377,47,100,100,3,4607,4301,319,,36258,1200,36258,35200,35200,,,1184,567,617
Concordia University-Irvine,6,CA,1,1,1,2,1,1,1,2,59690,59690,60,11,76,1465,63,100,100,3,4564,2732,290,,41390,900,41390,40510,40510,,,1417,582,835
Concordia University-Nebraska,31,NE,1,1,0,1,1,1,1,2,53450,53450,90,27,78,2934,64,100,100,5,1587,1429,381,1,39330,1070,39330,38500,38500,,,1216,596,620
Concordia University-Saint Paul,27,MN,1,1,1,1,1,1,1,2,41800,41800,75,18,67,3146,59,99,99,3,2730,2044,368,,25000,3000,25000,25000,25000,,,2124,724,1400
Concordia University-Wisconsin,55,WI,1,1,1,1,1,1,1,2,54250,54250,68,15,78,2525,64,100,100,5,4537,3064,452,,34250,2400,34250,33750,33750,,,1927,799,1128
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,36,NY,1,1,0,2,2,2,2,1,32500,32500,,,96,169,12,98,89,,,,,,21000,500,21000,21000,21000,,,169,169,0
Connecticut College,9,CT,1,1,1,2,1,2,1,2,84697,84697,38,15,87,1995,84,100,100,5,9397,3597,555,18,64812,1000,64812,64412,64412,,,1959,762,1197
Connecticut State Community College,9,CT,1,1,0,2,2,2,2,1,,,,,65,34991,19,90,30,,,,,,14840,1500,5092,4392,13200,,,12047,5382,6665
Connecticut State Community College Gateway,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut State Community College Housatonic,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut State Community College Norwalk,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut State Community College Tunxis,9,CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connors State College,40,OK,1,1,0,2,2,2,2,1,18546,22404,,,67,2098,29,88,37,,,,,,7562,1800,3704,2400,6258,,,969,353,616
Conservatory of Recording Arts and Sciences,4,AZ,1,1,-2,-2,-2,-2,-2,1,,,,,90,637,65,67,0,,,,,,,,,,,1,3400,637,547,90
Continental School of Beauty Culture-Mattydale,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,90,145,74,90,0,,,,,,,,,,,3,2487,145,3,142
Continental School of Beauty Culture-Rochester,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,94,213,56,95,0,,,,,,,,,,,4,2487,209,11,198
Continental School of Beauty Culture-West Seneca,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,83,67,64,91,0,,,,,,,,,,,3,2497,67,2,65
Contra Costa College,6,CA,1,1,0,2,2,2,2,1,,,,,71,5997,33,78,4,,,,,,9012,1190,1312,1288,8304,,,1539,697,842
Contra Costa Community College District Office,6,CA,-2,-2,-2,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa Medical Career College,6,CA,1,1,0,2,2,2,2,1,,,,,100,337,75,67,0,,,,,,,,,,,10,855,156,14,142
Converse University,45,SC,1,1,1,2,1,2,1,2,41170,41170,64,13,68,852,47,100,100,5,2628,1682,224,30,23096,1350,23096,22746,22746,,,821,221,600
Conway School of Landscape Design,25,MA,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Copiah-Lincoln Community College,28,MS,1,1,0,2,2,2,2,1,13950,14950,,,73,2834,52,92,52,,,,,,5000,1400,4000,3500,4500,,,1853,757,1096
Copper Mountain Community College,6,CA,1,1,0,2,2,2,2,1,,,,,61,1524,38,91,2,,,,,,11050,938,1114,1104,11040,,,395,132,263
Coppin State University,24,MD,1,1,1,1,1,1,1,2,25767,32555,50,17,73,1810,26,94,77,5,4703,2331,370,1,13789,1915,7001,4933,11721,,,1393,339,1054
Corban University,41,OR,1,1,0,2,1,1,1,2,53694,53694,90,29,82,785,61,100,99,3,546,490,140,,37208,1000,37208,36088,36088,,,610,247,363
Corinth Academy of Cosmetology,28,MS,1,1,-2,-2,-2,-2,-2,1,,,,,92,105,29,80,0,,,,,,,,,,,4,2000,71,1,70
Cornell College,19,IA,1,1,1,1,1,1,1,2,66352,66352,81,12,74,1082,72,100,100,5,3087,2490,298,9,50634,1200,50634,49970,49970,,,1075,575,500
Cornell University,36,NY,1,1,1,1,1,1,1,2,88140,88140,8,66,98,16051,95,60,49,5,65635,5358,3537,37,66014,1354,66014,65204,65204,,,15899,7235,8664
Cornerstone University,26,MI,1,1,0,2,1,1,1,2,44470,44470,73,21,84,1444,62,100,100,3,2011,1472,267,,29100,840,29100,28300,28300,,,1109,456,653
Cornish College of the Arts,53,WA,1,1,0,2,2,2,2,2,60273,60273,70,21,69,502,52,100,100,3,1097,773,163,,39913,1800,39913,38316,38316,,,459,147,312
Cortiva Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,,138,77,33,0,,,,,,,,,,,3,1941,137,15,122
Cortiva Institute,9,CT,1,1,-2,-2,-2,-2,-2,1,,,,,8,220,77,49,0,,,,,,,,,,,4,2541,121,18,103
Cortiva Institute,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,8,137,73,41,0,,,,,,,,,,,4,2541,211,10,201
Cortiva Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,39,121,69,42,0,,,,,,,,,,,2,1902,251,19,232
Cortiva Institute,24,MD,1,1,-2,-2,-2,-2,-2,1,,,,,,251,65,69,0,,,,,,,,,,,4,2457,138,20,118
Cortiva Institute,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,25,211,77,64,0,,,,,,,,,,,2,1550,220,20,200
Cortiva Institute-Arlington,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,,90,70,68,0,,,,,,,,,,,1,2413,90,28,62
Cosmetology & Spa Academy,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,92,377,60,85,0,,,,,,,,,,,4,1500,359,116,243
Cosmetology Academy of Texarkana,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,52,55,61,94,0,,,,,,,,,,,4,1750,55,8,47
Cosmetology Concepts Niles,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,100,55,57,63,0,,,,,,,,,,,2,2646,11,0,11
Cosmetology School of Arts & Sciences,16,ID,1,1,-2,-2,-2,-2,-2,1,,,,,85,38,83,89,0,,,,,,,,,,,7,1300,34,5,29
Cosmetology Training Center,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,100,101,74,97,0,,,,,,,,,,,2,1763,101,1,100
Cosmo Beauty Academy,6,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cossatot Community College of the University of Arkansas,5,AR,1,1,0,2,2,2,2,1,,,,,61,1387,48,91,23,,,,,,4746,300,4296,2820,3270,,,455,164,291
Cosumnes River College,6,CA,1,1,0,2,2,2,2,1,,,,,77,14980,33,87,7,,,,,,12808,1152,1288,0,11520,,,3574,1735,1839
Cottey College,29,MO,1,1,0,2,1,2,1,2,39655,39655,66,18,61,266,61,100,100,5,567,376,65,0,26209,1188,26209,24518,24518,,,264,0,264
County College of Morris,34,NJ,1,1,0,2,2,2,2,1,,,,,73,6069,35,62,6,,,,,,14310,1400,10530,9240,13020,,,2732,1572,1160
Covenant College,13,GA,1,1,1,2,1,1,1,2,58012,58012,82,40,87,908,72,100,97,5,751,614,246,35,40464,1170,40464,39270,39270,,,847,395,452
Covenant School of Nursing and Allied Health,48,TX,1,2,-2,2,2,2,2,-2,,,,,,333,,,,,,,,,,,,,,3,,333,57,276
Covenant Theological Seminary,29,MO,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Cowley County Community College,20,KS,1,1,0,2,2,2,2,1,16750,18250,,,62,2158,47,93,71,,,,,,6150,1500,4650,2400,3900,,,1154,562,592
Cox College,29,MO,1,1,0,2,2,2,2,2,,,71,60,,637,100,,,1,7,5,1,0,15599,1700,15599,11587,11587,,,321,41,280
Cozmo Beauty School,12,FL,1,1,-2,-2,-2,-2,-2,1,,,,,88,68,65,58,0,,,,,,,,,,,3,,31,1,30
Crafton Hills College,6,CA,1,1,0,2,2,2,2,1,,,,,69,6097,37,58,3,,,,,,12320,938,1188,1104,12144,,,1640,771,869
Cranbrook Academy of Art,26,MI,2,2,0,2,2,2,2,-2,,,,,,0,,,,,,,,,,,,,,,,,,
Crave Beauty Academy,20,KS,1,1,-2,-2,-2,-2,-2,1,,,,,85,355,83,78,0,,,,,,,,,,,6,2420,190,0,190
Craven Community College,37,NC,1,1,0,2,2,2,2,1,,,,,62,2851,46,70,16,,,,,,6630,1300,2022,1824,6432,,,827,381,446
Crawford County Career and Technical Center Practical Nursing Program,42,PA,1,1,-2,-2,-2,-2,-2,1,,,,,20,25,83,86,0,,,,,,,,,,,1,1704,25,6,19
Creative Hair School of Cosmetology,26,MI,1,1,-2,-2,-2,-2,-2,1,,,,,75,48,33,52,0,,,,,,,,,,,5,1200,48,2,46
Creative Images Institute of Cosmetology-North Dayton,39,OH,1,1,-2,2,2,2,2,1,,,,,84,186,66,81,9,,,,,,,,,,,6,2316,106,0,106
Creative Images Institute of Cosmetology-South Dayton,39,OH,1,1,-2,2,2,2,2,1,,,,,100,52,84,57,15,,,,,,,,,,,4,2316,41,1,40
Creative Touch Cosmetology School,17,IL,1,1,-2,-2,-2,-2,-2,1,,,,,100,21,45,92,0,,,,,,,,,,,2,0,21,0,21
Creighton University,31,NE,1,1,1,2,1,1,1,2,63790,63790,72,20,92,4262,81,100,100,5,7248,5241,1044,13,47000,1200,47000,45000,45000,,,4172,1745,2427
Crescent City Bartending School,22,LA,1,1,-2,-2,-2,-2,-2,1,,,,,,693,76,97,0,,,,,,,,,,,3,0,693,250,443
Crevier's Academy of Cosmetology Arts,30,MT,1,1,-2,-2,-2,-2,-2,1,,,,,72,62,82,50,0,,,,,,,,,,,4,1300,62,2,60
Criswell College,48,TX,1,1,0,2,2,2,2,2,27748,27748,92,82,64,118,57,100,100,3,24,22,17,,14310,842,14310,13440,13440,,,86,45,41
Crowder College,29,MO,1,1,0,2,2,2,2,1,23156,23156,,,68,3865,43,95,28,,,,,,8280,1400,8280,4152,4152,,,1776,750,1026
Crowley's Ridge College,5,AR,1,1,0,2,1,1,1,1,29127,29127,,,71,225,26,100,100,,,,,,16440,800,16440,13740,13740,,,161,78,83
Crown College,27,MN,1,1,1,1,1,1,1,2,46766,46766,63,31,67,1379,64,98,96,3,1054,662,189,,30200,1316,30200,29300,29300,,,747,364,383
Crown Cutz Academy Bristol,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,75,32,88,57,0,,,,,,,,,,,10,1750,25,12,13
CRU Institute of Cosmetology and Barbering,6,CA,1,1,-2,-2,-2,-2,-2,1,,,,,71,129,50,71,0,,,,,,,,,,,4,1200,129,66,63
CT Aerotech,9,CT,1,1,-2,2,2,2,2,1,,,,,100,34,97,0,0,,,,,,,,,,,1,1200,34,31,3
CTK Healthcare & Career Institute,48,TX,1,1,-2,-2,-2,-2,-2,1,,,,,44,45,,49,0,,,,,,,,,,,6,1250,45,10,35
Cuesta College,6,CA,1,1,0,2,2,2,2,1,,,,,69,10437,44,77,31,,,,,,11000,1152,1340,1288,10948,,,2856,1435,1421
Culinary Institute Inc,48,TX,1,1,0,2,2,2,2,1,,,,,18,334,58,73,0,,,,,,18539,2600,18539,12600,12600,,,241,94,147
Culinary Institute of America,36,NY,1,1,0,2,2,2,2,2,59130,59130,92,34,75,2989,65,98,98,5,2161,1983,680,20,38410,1000,38410,35520,35520,,,2869,1428,1441
Culinary Tech Center,36,NY,1,1,-2,-2,-2,-2,-2,1,,,,,,44,68,100,60,,,,,,,,,,,1,2200,44,28,16
Culpeper Cosmetology Training Center,51,VA,1,1,-2,-2,-2,-2,-2,1,,,,,27,68,64,96,0,,,,,,,,,,,1,1400,56,2,54
Culver-Stockton College,29,MO,1,1,0,1,1,1,1,2,44468,44468,98,19,67,930,50,100,100,5,1351,1324,250,,29915,1100,29915,29420,29420,,,858,472,386
Cumberland University,47,TN,1,1,0,1,1,1,1,2,44740,44740,67,36,62,2652,47,100,100,3,2788,1868,667,,27840,1200,27840,26640,26640,,,1993,919,1074
CUNY Bernard M Baruch College,36,NY,1,1,1,2,1,1,1,2,31482,39432,50,21,88,16086,72,88,70,5,24867,12554,2597,9,15414,1500,7464,6930,14880,,,12947,6544,6403
CUNY Borough of Manhattan Community College,36,NY,1,1,0,2,2,2,2,1,,,,,59,18225,26,94,46,,,,,,8050,1500,5170,4800,7680,,,11871,5488,6383
CUNY Bronx Community College,36,NY,1,1,0,2,2,2,2,1,,,,,55,6465,18,95,60,,,,,,8086,1500,5206,4800,7680,,,3725,1794,1931
CUNY Brooklyn College,36,NY,1,1,1,2,1,2,1,2,,,54,10,80,11330,57,89,74,5,27112,14548,1504,6,15402,1500,7452,6930,14880,,,8268,3709,4559
